id,seat_number,floor,created_at,arrange
f782b6e8-40d6-4d03-bae1-e10de09bbb01,EMPTY,9,,0
f782b6e8-40d6-4d03-bae1-e10de09bbb02,EMPTY,9,,1
f782b6e8-40d6-4d03-bae1-e10de09bbb03,9-1,9,,2
f782b6e8-40d6-4d03-bae1-e10de09bbb04,9-2,9,,3
f782b6e8-40d6-4d03-bae1-e10de09bbb05,9-3,9,,4
f782b6e8-40d6-4d03-bae1-e10de09bbb06,EMPTY,9,,5
f782b6e8-40d6-4d03-bae1-e10de09bbb07,EMPTY,9,,6
f782b6e8-40d6-4d03-bae1-e10de09bbb08,EMPTY,9,,7
f782b6e8-40d6-4d03-bae1-e10de09bbb09,9-4,9,,8
f782b6e8-40d6-4d03-bae1-e10de09bbb10,9-5,9,,9
f782b6e8-40d6-4d03-bae1-e10de09bbb11,9-6,9,,10
f782b6e8-40d6-4d03-bae1-e10de09bbb12,EMPTY,9,,11
f782b6e8-40d6-4d03-bae1-e10de09bbb13,EMPTY,9,,12
f782b6e8-40d6-4d03-bae1-e10de09bbb14,EMPTY,9,,13
f782b6e8-40d6-4d03-bae1-e10de09bbb15,EMPTY,9,,14
f782b6e8-40d6-4d03-bae1-e10de09bbb16,EMPTY,9,,15
f782b6e8-40d6-4d03-bae1-e10de09bbb17,EMPTY,9,,16
f782b6e8-40d6-4d03-bae1-e10de09bbb18,EMPTY,9,,17
f782b6e8-40d6-4d03-bae1-e10de09bbb19,EMPTY,9,,18
f782b6e8-40d6-4d03-bae1-e10de09bbb20,EMPTY,9,,19
f782b6e8-40d6-4d03-bae1-e10de09bbb21,9-7,9,,20
f782b6e8-40d6-4d03-bae1-e10de09bbb22,9-8,9,,21
f782b6e8-40d6-4d03-bae1-e10de09bbb23,9-9,9,,22
f782b6e8-40d6-4d03-bae1-e10de09bbb24,EMPTY,9,,23
f782b6e8-40d6-4d03-bae1-e10de09bbb25,EMPTY,9,,24
f782b6e8-40d6-4d03-bae1-e10de09bbb26,EMPTY,9,,25
f782b6e8-40d6-4d03-bae1-e10de09bbb27,9-10,9,,26
f782b6e8-40d6-4d03-bae1-e10de09bbb28,9-11,9,,27
f782b6e8-40d6-4d03-bae1-e10de09bbb29,9-12,9,,28
f782b6e8-40d6-4d03-bae1-e10de09bbb30,EMPTY,9,,29
f782b6e8-40d6-4d03-bae1-e10de09bbb31,EMPTY,9,,30
f782b6e8-40d6-4d03-bae1-e10de09bbb32,EMPTY,9,,31
f782b6e8-40d6-4d03-bae1-e10de09bbb33,EMPTY,9,,32
f782b6e8-40d6-4d03-bae1-e10de09bbb34,EMPTY,9,,33
f782b6e8-40d6-4d03-bae1-e10de09bbb35,EMPTY,9,,34
f782b6e8-40d6-4d03-bae1-e10de09bbb36,EMPTY,9,,35
f782b6e8-40d6-4d03-bae1-e10de09bbb37,EMPTY,9,,36
f782b6e8-40d6-4d03-bae1-e10de09bbb38,9-12,9,,37
f782b6e8-40d6-4d03-bae1-e10de09bbb39,9-13,9,,38
f782b6e8-40d6-4d03-bae1-e10de09bbb40,9-14,9,,39
f782b6e8-40d6-4d03-bae1-e10de09bbb41,9-15,9,,40
f782b6e8-40d6-4d03-bae1-e10de09bbb42,EMPTY,9,,41
